# Indian Company Career Sites

> This is a curated list of major Indian companies and their careers
> pages. It is not exhaustive---India has hundreds of thousands of
> companies.

  ----------------------------------------------------------------------------------------
  Company                             Careers
  ----------------------------------- ----------------------------------------------------
  TCS                                 https://www.tcs.com/careers

  Infosys                             https://career.infosys.com/

  Wipro                               https://careers.wipro.com/

  HCLTech                             https://www.hcltech.com/careers

  Tech Mahindra                       https://careers.techmahindra.com/

  LTIMindtree                         https://www.ltimindtree.com/careers/

  L&T Technology Services             https://www.ltts.com/careers

  Mphasis                             https://www.mphasis.com/home/careers.html

  Persistent Systems                  https://www.persistent.com/careers/

  Coforge                             https://www.coforge.com/careers

  KPIT                                https://www.kpit.com/careers/

  Happiest Minds                      https://www.happiestminds.com/careers/

  Birlasoft                           https://www.birlasoft.com/careers

  Cyient                              https://www.cyient.com/careers

  Hexaware                            https://hexaware.com/careers/

  Sonata Software                     https://www.sonata-software.com/careers

  Zensar                              https://www.zensar.com/careers

  Tata Elxsi                          https://www.tataelxsi.com/careers

  Oracle Financial Services           https://www.oracle.com/in/corporate/careers/

  Razorpay                            https://razorpay.com/jobs/

  Zerodha                             https://careers.zerodha.com/

  Groww                               https://groww.in/careers

  PhonePe                             https://www.phonepe.com/careers/

  Paytm                               https://paytm.com/careers

  CRED                                https://careers.cred.club/

  Meesho                              https://www.meesho.io/jobs

  Flipkart                            https://www.flipkartcareers.com/

  Myntra                              https://careers.myntra.com/

  Swiggy                              https://careers.swiggy.com/

  Zomato                              https://www.zomato.com/careers

  Ola                                 https://careers.olacabs.com/

  Ola Electric                        https://olaelectric.com/careers

  Dream11                             https://careers.dreamsports.group/

  Freshworks                          https://www.freshworks.com/company/careers/

  Zoho                                https://www.zoho.com/careers/

  BrowserStack                        https://www.browserstack.com/careers

  Postman                             https://www.postman.com/company/careers/

  Chargebee                           https://www.chargebee.com/careers/

  Darwinbox                           https://darwinbox.com/careers

  InMobi                              https://www.inmobi.com/company/careers

  Unacademy                           https://careers.unacademy.com/

  BYJU'S                              https://byjus.com/careers/

  PhysicsWallah                       https://www.pw.live/careers

  upGrad                              https://www.upgrad.com/careers/

  Fractal                             https://fractal.ai/careers/

  Tiger Analytics                     https://www.tigeranalytics.com/careers

  Tredence                            https://www.tredence.com/careers

  Mu Sigma                            https://www.mu-sigma.com/careers/

  LatentView Analytics                https://www.latentview.com/careers/

  Reliance Industries                 https://careers.ril.com/

  Adani Group                         https://careers.adani.com/

  Tata Steel                          https://www.tatasteel.com/careers/

  Tata Motors                         https://careers.tatamotors.com/

  Mahindra Group                      https://careers.mahindra.com/

  Ashok Leyland                       https://www.ashokleyland.com/careers

  Bajaj Auto                          https://www.bajajauto.com/careers

  Maruti Suzuki                       https://www.marutisuzuki.com/corporate/careers

  Hero MotoCorp                       https://www.heromotocorp.com/en-in/careers.html

  TVS Motor                           https://www.tvsmotor.com/careers

  Godrej                              https://www.godrejcareers.com/

  ITC                                 https://www.itcportal.com/careers/

  Asian Paints                        https://www.asianpaints.com/careers.html

  HDFC Bank                           https://www.hdfcbank.com/personal/about-us/careers

  ICICI Bank                          https://www.icicicareers.com/

  Axis Bank                           https://www.axisbank.com/careers

  Kotak Mahindra Bank                 https://www.kotak.com/en/careers.html

  SBI                                 https://sbi.co.in/web/careers

  Deloitte India                      https://www2.deloitte.com/in/en/careers.html

  EY India                            https://www.ey.com/en_in/careers

  KPMG India                          https://kpmg.com/in/en/home/careers.html

  PwC India                           https://www.pwc.in/careers.html

  Accenture India                     https://www.accenture.com/in-en/careers

  Capgemini India                     https://www.capgemini.com/in-en/careers/

  Cognizant                           https://careers.cognizant.com/
  ----------------------------------------------------------------------------------------
